r,phi,dphi,V,dV
4.214844e-008,2.372567e+004,-2.966942e+002,-1.721719e+014,-2.815707e+010
1.987676e-007,2.372567e+004,-1.399179e+003,-1.721719e+014,-2.815707e+010
5.155521e-007,2.372567e+004,-3.629109e+003,-1.721719e+014,-2.815707e+010
1.337209e-006,2.372566e+004,-9.412970e+003,-1.721718e+014,-2.815705e+010
3.468376e-006,2.372563e+004,-2.441475e+004,-1.721708e+014,-2.815693e+010
8.996075e-006,2.372539e+004,-6.332439e+004,-1.721642e+014,-2.815614e+010
2.333350e-005,2.372375e+004,-1.642265e+005,-1.721197e+014,-2.815082e+010
6.052110e-005,2.371278e+004,-4.255999e+005,-1.718207e+014,-2.811502e+010
1.569761e-004,2.363923e+004,-1.097624e+006,-1.698260e+014,-2.787570e+010
4.071557e-004,2.315514e+004,-2.736603e+006,-1.561522e+014,-2.617711e+010
8.972595e-004,2.118400e+004,-5.081754e+006,-1.110145e+014,-2.035902e+010
1.264520e-003,1.914366e+004,-5.897625e+006,-7.481160e+013,-1.519924e+010
1.569892e-003,1.731106e+004,-6.034885e+006,-5.048303e+013,-1.135484e+010
1.847077e-003,1.565819e+004,-5.852542e+006,-3.406408e+013,-8.479848e+009
2.109427e-003,1.416528e+004,-5.508645e+006,-2.297311e+013,-6.328413e+009
2.363894e-003,1.281593e+004,-5.087578e+006,-1.548170e+013,-4.718795e+009
2.614747e-003,1.159590e+004,-4.637299e+006,-1.042406e+013,-3.515245e+009
2.864903e-003,1.049252e+004,-4.186301e+006,-7.011912e+012,-2.616008e+009
3.116515e-003,9.494479e+003,-3.751453e+006,-4.711791e+012,-1.944722e+009
3.371280e-003,8.591623e+003,-3.342372e+006,-3.162703e+012,-1.444072e+009
3.630602e-003,7.774805e+003,-2.964056e+006,-2.120448e+012,-1.071054e+009
3.895697e-003,7.035779e+003,-2.618532e+006,-1.419931e+012,-7.934198e+008
4.167653e-003,6.367102e+003,-2.305935e+006,-9.496196e+011,-5.870013e+008
4.447473e-003,5.762053e+003,-2.025283e+006,-6.342265e+011,-4.337036e+008
4.736093e-003,5.214559e+003,-1.774783e+006,-4.229788e+011,-3.199892e+008
5.034429e-003,4.719133e+003,-1.552208e+006,-2.816670e+011,-2.357400e+008
5.343382e-003,4.270813e+003,-1.355236e+006,-1.872646e+011,-1.734003e+008
5.663843e-003,3.865113e+003,-1.181503e+006,-1.242887e+011,-1.273336e+008
5.996710e-003,3.497974e+003,-1.028704e+006,-8.234016e+010,-9.333944e+007
6.342889e-003,3.165728e+003,-8.946401e+005,-5.444226e+010,-6.829078e+007
6.703306e-003,2.865053e+003,-7.772609e+005,-3.592005e+010,-4.986221e+007
7.078907e-003,2.592948e+003,-6.746761e+005,-2.364480e+010,-3.632637e+007
7.470668e-003,2.346695e+003,-5.851629e+005,-1.552535e+010,-2.640165e+007
7.879595e-003,2.123837e+003,-5.071641e+005,-1.016596e+010,-1.913826e+007
8.306733e-003,1.922149e+003,-4.392818e+005,-6.636404e+009,-1.383325e+007
8.753164e-003,1.739618e+003,-3.802678e+005,-4.317652e+009,-9.966996e+006
9.220016e-003,1.574426e+003,-3.290129e+005,-2.798451e+009,-7.155920e+006
9.708462e-003,1.424923e+003,-2.845349e+005,-1.806061e+009,-5.117291e+006
1.021973e-002,1.289619e+003,-2.459674e+005,-1.159937e+009,-3.643012e+006
1.075510e-002,1.167165e+003,-2.125477e+005,-7.408090e+008,-2.580170e+006
1.131590e-002,1.056341e+003,-1.836066e+005,-4.700564e+008,-1.816590e+006
1.190354e-002,9.560408e+002,-1.585576e+005,-2.959766e+008,-1.270133e+006
1.251949e-002,8.652654e+002,-1.368880e+005,-1.846571e+008,-8.807715e+005
1.316527e-002,7.831101e+002,-1.181504e+005,-1.139173e+008,-6.047254e+005
1.384250e-002,7.087561e+002,-1.019545e+005,-6.929580e+007,-4.101406e+005
1.455287e-002,6.414624e+002,-8.796059e+004,-4.139662e+007,-2.738960e+005
1.529813e-002,5.805586e+002,-7.587330e+004,-2.413919e+007,-1.792548e+005
1.608016e-002,5.254377e+002,-6.543630e+004,-1.360590e+007,-1.141381e+005
1.690087e-002,4.755506e+002,-5.642636e+004,-7.285475e+006,-6.985695e+004
1.776233e-002,4.304003e+002,-4.865027e+004,-3.577613e+006,-4.018441e+004
1.866668e-002,3.895370e+002,-4.194053e+004,-1.469471e+006,-2.067626e+004
1.961615e-002,3.525535e+002,-3.615207e+004,-3.252219e+005,-8.175669e+003
2.061312e-002,3.190815e+002,-3.115929e+004,2.503883e+005,-4.523660e+002
2.166006e-002,2.887875e+002,-2.685353e+004,5.001143e+005,4.059404e+003
2.275958e-002,2.613698e+002,-2.314081e+004,5.707966e+005,6.450777e+003
2.391440e-002,2.365552e+002,-1.993987e+004,5.495146e+005,7.475443e+003
2.512741e-002,2.140966e+002,-1.718050e+004,4.865384e+005,7.648443e+003
2.640162e-002,1.937703e+002,-1.480206e+004,4.097908e+005,7.317061e+003
2.774020e-002,1.753738e+002,-1.275216e+004,3.338774e+005,6.711502e+003
2.914648e-002,1.587239e+002,-1.098559e+004,2.656643e+005,5.980952e+003
3.062394e-002,1.436548e+002,-9.463299e+003,2.076757e+005,5.219108e+003
3.217627e-002,1.300163e+002,-8.151615e+003,1.601281e+005,4.482142e+003
3.380733e-002,1.176727e+002,-7.021477e+003,1.221195e+005,3.801261e+003
3.552116e-002,1.065011e+002,-6.047816e+003,9.230322e+004,3.191412e+003
3.732204e-002,9.639000e+001,-5.209013e+003,6.925046e+004,2.657255e+003
3.921442e-002,8.723888e+001,-4.486426e+003,5.163106e+004,2.197214e+003
4.120302e-002,7.895657e+001,-3.863981e+003,3.828976e+004,1.806185e+003
4.329278e-002,7.146057e+001,-3.327826e+003,2.826563e+004,1.477303e+003
4.548887e-002,6.467624e+001,-2.866015e+003,2.078268e+004,1.203068e+003
4.779676e-002,5.853600e+001,-2.468250e+003,1.522747e+004,9.760386e+002
5.022218e-002,5.297871e+001,-2.125658e+003,1.112293e+004,7.892271e+002
5.277113e-002,4.794902e+001,-1.830594e+003,8.102698e+003,6.363048e+002
5.544996e-002,4.339684e+001,-1.576471e+003,5.888313e+003,5.116831e+002
5.826530e-002,3.927684e+001,-1.357613e+003,4.269891e+003,4.105198e+002
6.122414e-002,3.554798e+001,-1.169129e+003,3.090343e+003,3.286790e+002
6.433380e-002,3.217314e+001,-1.006807e+003,2.232790e+003,2.626691e+002
6.760201e-002,2.911869e+001,-8.670174e+002,1.610712e+003,2.095697e+002
7.103686e-002,2.635423e+001,-7.466343e+002,1.160341e+003,1.669569e+002
7.464685e-002,2.385222e+001,-6.429647e+002,8.348592e+002,1.328320e+002
7.844093e-002,2.158774e+001,-5.536890e+002,6.000084e+002,1.055562e+002
8.242847e-002,1.953825e+001,-4.768094e+002,4.307935e+002,8.379183e+001
8.661934e-002,1.768333e+001,-4.106051e+002,3.090267e+002,6.645168e+001
9.102391e-002,1.600452e+001,-3.535942e+002,2.215040e+002,5.265536e+001
9.565305e-002,1.448508e+001,-3.045002e+002,1.586596e+002,4.169213e+001
1.005182e-001,1.310990e+001,-2.622239e+002,1.135766e+002,3.298983e+001
1.056313e-001,1.186528e+001,-2.258187e+002,8.126159e+001,2.608903e+001
1.110051e-001,1.073881e+001,-1.944693e+002,5.811519e+001,2.062163e+001
1.166526e-001,9.719293e+000,-1.674735e+002,4.154655e+001,1.629330e+001
1.225879e-001,8.796563e+000,-1.442269e+002,2.969293e+001,1.286912e+001
1.288256e-001,7.961435e+000,-1.242086e+002,2.121655e+001,1.016186e+001
1.353808e-001,7.205591e+000,-1.069703e+002,1.515760e+001,8.022570e+000
1.422698e-001,6.521506e+000,-9.212593e+001,1.082804e+001,6.332853e+000
1.495093e-001,5.902366e+000,-7.934294e+001,7.735046e+000,4.998743e+000
1.571170e-001,5.342005e+000,-6.833503e+001,5.525851e+000,3.945731e+000
1.651116e-001,4.834844e+000,-5.885566e+001,3.948106e+000,3.114794e+000
1.735125e-001,4.375831e+000,-5.069253e+001,2.821384e+000,2.459215e+000
1.823401e-001,3.960395e+000,-4.366281e+001,2.016744e+000,1.942047e+000
1.916157e-001,3.584400e+000,-3.760909e+001,1.442071e+000,1.534090e+000
2.013619e-001,3.244101e+000,-3.239579e+001,1.031581e+000,1.212279e+000
2.116022e-001,2.936109e+000,-2.790620e+001,7.383049e-001,9.584039e-001
2.223611e-001,2.657357e+000,-2.403981e+001,5.287138e-001,7.580968e-001
2.336644e-001,2.405068e+000,-2.071005e+001,3.788760e-001,6.000236e-001
2.455392e-001,2.176732e+000,-1.784240e+001,2.717105e-001,4.752471e-001
2.580135e-001,1.970073e+000,-1.537268e+001,1.950262e-001,3.767215e-001
2.711171e-001,1.783034e+000,-1.324563e+001,1.401216e-001,2.988937e-001
2.848806e-001,1.613751e+000,-1.141366e+001,1.007846e-001,2.373874e-001
2.993362e-001,1.460540e+000,-9.835807e+000,7.258006e-002,1.887542e-001
3.145177e-001,1.321875e+000,-8.476779e+000,5.234033e-002,1.502767e-001
3.304601e-001,1.196374e+000,-7.306195e+000,3.780247e-002,1.198137e-001
3.471999e-001,1.082787e+000,-6.297890e+000,2.734918e-002,9.567796e-002
3.647751e-001,9.799847e-001,-5.429342e+000,1.933209e-002,7.473328e-002
3.832252e-001,8.869417e-001,-4.681211e+000,1.297126e-002,5.540404e-002
4.025909e-001,8.027319e-001,-4.036790e+000,8.703298e-003,4.107407e-002
4.229144e-001,7.265167e-001,-3.481669e+000,5.839615e-003,3.045040e-002
4.442392e-001,6.575372e-001,-3.003440e+000,3.918167e-003,2.257445e-002
4.666104e-001,5.951063e-001,-2.591425e+000,2.628936e-003,1.673555e-002
4.900744e-001,5.386025e-001,-2.236428e+000,1.763904e-003,1.240684e-002
5.146786e-001,4.874629e-001,-1.930534e+000,1.183499e-003,9.197735e-003
5.404721e-001,4.411784e-001,-1.666928e+000,7.940696e-004,6.818657e-003
5.675045e-001,3.992880e-001,-1.439740e+000,5.327784e-004,5.054927e-003
5.958266e-001,3.613745e-001,-1.243919e+000,3.574636e-004,3.747389e-003
6.254900e-001,3.270605e-001,-1.075115e+000,2.398358e-004,2.778052e-003
6.565465e-001,2.960041e-001,-9.295812e-001,1.609136e-004,2.059441e-003
6.890481e-001,2.678962e-001,-8.040926e-001,1.079612e-004,1.526707e-003
7.230470e-001,2.424567e-001,-6.958718e-001,7.243334e-005,1.131772e-003
7.585944e-001,2.194324e-001,-6.025272e-001,4.859649e-005,8.389934e-004
