phi,lambda_eff,V
246.22,0.0006044248772569148,555361.3442519649
272.1151834485859,0.0003963727419305134,543318.9969771088
300.7337871141968,0.0001992403875161089,407423.6918924903
332.3622356013632,1.256191588998089e-005,38321.50670025782
367.3170770532331,-0.0001641043687168982,-746834.9444634834
405.9481512717849,-0.0003311774905922536,-2248449.26005509
448.6420910321502,-0.0004890552190702226,-4953338.082301999
495.8261916333796,-0.0006381153805303832,-9641776.906623313
547.9726874134138,-0.0007787170747359061,-17553161.80307464
605.6034780290622,-0.0009112018035312806,-30641358.92579265
669.2953518031837,-0.001035894519162462,-51966896.28653815
739.6857584160879,-0.001153104598804079,-86297405.92298618
817.4791887161892,-0.001263126751270388,-141024238.3004783
903.4542255012062,-0.001366241861340972,-227558053.5710149
998.4713358364909,-0.001462717776641845,-363448561.8401932
1103.481482898633,-0.001552810041581335,-575597022.6636186
1219.535643534558,-0.001636762582442679,-905114847.1499021
1347.795326791063,-0.001714808347376727,-1414657747.671824
1489.544198687746,-0.0017871699047145,-2199477019.445467
1646.200929577991,-0.001854060002726665,-3404043992.451795
1819.333392678692,-0.001915682093692273,-5247018695.275001
2010.674355872392,-0.001972230824899154,-8058694771.02172
2222.138823830652,-0.002023892498980841,-12337074806.89684
2455.843204024461,-0.002070845505797428,-18831731346.48594
2714.126488441552,-0.002113260727888266,-28669058126.73177
2999.573663004383,-0.002151301921361197,-43539105336.79556
3315.041578978086,-0.002185126073934358,-65973940982.03031
3663.687545298154,-0.002214883741711163,-99761887254.09964
4049.000927979476,-0.002240719366145494,-150563250309.8696
4474.838072864225,-0.002262771572541292,-226824530523.7319
4945.460901227215,-0.002281173451327676,-341134315228.9813
5465.579564516499,-0.00229605282325637,-512232072356.5901
6040.399585132195,-0.002307532489581932,-767981059794.2344
6675.673955044307,-0.002315730468206152,-1149763420188.333
7377.760713670004,-0.002320760216695433,-1718970966437.676
8153.68658126912,-0.002322730843013503,-2566580853180.801
9011.217284722279,-0.002321747304750529,-3827267398797.258
9958.935279535663,-0.002317910597573615,-5700176847540.175
11006.32564594038,-0.002311317933571957,-8479478249269.328
12163.87101876347,-0.002302062910122265,-12599242123712.54
13443.15650116059,-0.002290235669856342,-18699293636899.56
14856.98561222225,-0.002275923052272163,-27721734159281.03
16419.50842889634,-0.002259208737492623,-41052250618680.14
18146.3632047142,-0.002240173382641591,-60726749864393.02
20054.83288268814,-0.002218894751275169,-89733147394364.36
22164.01806881413,-0.002195447836276627,-132451570930481
24495.02819735654,-0.002169904976596242,-195295618292728.1
27071.1928011614,-0.002142335968192157,-287645216178550.2
29918.29500146239,-0.00211280816950495,-423201732147863.4
33064.82955402424,-0.002081386601777078,-621953500513316.5
36542.28803423577,-0.002048134044508196,-913022186815696.8
40385.47401538108,-0.00201311112631883,-1338777782765238
44632.8513944989,-0.001976376411477509,-1960776991041491
49326.92935199229,-0.001937986482330469,-2868316534277777
54514.6877977939,-0.001897996017858041,-4190727505994693
60248.04756209517,-0.001856457868567995,-6115007809423296
66584.39003646598,-0.001813423127923116,-8911049610201019
73587.13146610808,-0.00176894120048831,-1.296763868043554e+016
81326.35764095202,-0.001723059866971247,-1.884367753942566e+016
89879.52533779938,-0.00167582534632013,-2.734083942086364e+016
99332.23753377913,-0.00162728235503237,-3.960625666599238e+016
109779.1001497149,-0.001577474163818883,-5.727708799227394e+016
121324.6688979789,-0.00152644265176017,-8.268313983989317e+016
134084.4957112033,-0.001474228358082411,-1.191294183960898e+017
148186.2852248607,-0.001420870531674353,-1.712878509414079e+017
163771.172888179,-0.001366407178458859,-2.457366768853568e+017
